규모,진원깊이,영향도,위도,경도,cluster,c,cluster_4
4.2,27.383,271,-2.4866,140.0399,1,blue,1
4.4,9.445,298,50.9849,100.0069,1,blue,1
4.7,10.0,340,38.7748,70.8754,1,blue,1
4.8,10.788,354,44.7086,109.3821,1,pink,3
4.4,537.337,298,-17.3874,-178.8801,2,green,2
4.4,417.605,298,-18.9922,-177.6767,2,green,2
4.2,566.795,271,-18.1556,-178.2921,2,green,2
4.5,10.0,312,5.5405,89.8244,1,blue,1
4.3,320.049,284,-15.0498,-176.1059,2,green,2
4.5,54.701,312,36.4215,140.9664,1,blue,1
4.9,10.0,369,-20.3379,-173.5872,1,pink,3
4.4,10.0,298,71.5247,-3.9405,1,blue,1
4.3,34.69,285,10.8874,-86.1165,1,blue,1
4.5,591.649,312,-22.0769,-179.6226,2,green,2
4.4,10.0,298,-2.6825,68.142,1,blue,1
3.4,7.828295898,178,31.71139301,-104.1763164,0,red,0
4.1,17.894,259,52.773,173.0314,1,blue,1
4.0,16.58,246,37.079,141.3795,1,blue,1
4.2,65.99,274,13.1705,-89.5257,1,blue,1
4.2,323.655,271,-25.1772,-179.235,2,green,2
3.41,10.01,179,17.9376666666667,-66.9565,0,red,0
5.2,10.0,435,14.503,123.0492,1,pink,3
3.31,9.6,169,17.9465,-66.9528333333333,0,red,0
4.4,23.377,298,-5.3832,102.0391,1,blue,1
4.8,10.0,354,-14.9035,166.8257,1,pink,3
4.5,10.0,312,-3.4993,130.9926,1,blue,1
4.0,10.0,246,36.4851,3.0791,1,blue,1
4.5,19.103,312,-9.4706,-79.9176,1,blue,1
5.0,39.616,385,-13.9216,166.7512,1,pink,3
4.5,10.0,312,8.4819,-102.7163,1,blue,1
4.2,182.434,271,-21.4089,-67.331,1,blue,1
4.0,146.339,246,43.8655,145.7516,1,blue,1
4.9,51.735,369,0.7937,125.5433,1,pink,3
3.3,86.674,168,52.4738,176.737,0,red,0
4.4,10.0,298,-26.5856,67.5878,1,blue,1
4.4,80.701,298,-10.283,161.1467,1,blue,1
3.56,5.07,220,35.5086667,-118.3915,0,red,0
4.4,10.0,298,-57.9103,-23.8832,1,blue,1
4.1,35.41,259,36.9027,141.28,1,blue,1
4.7,127.12,340,14.1583,145.0467,1,blue,1
4.6,142.025,326,-14.8929,167.2868,1,blue,1
4.2,12.524,271,-10.6581,113.3708,1,blue,1
4.2,603.18,271,-19.8971,-178.1695,2,green,2
4.1,568.661,259,-21.3876,-178.8968,2,green,2
4.9,108.018,369,-58.7356,-26.0607,1,pink,3
4.4,21.4,320,64.4239,-148.0408,1,blue,1
5.2,29.247,418,23.7264,121.6497,1,pink,3
4.4,507.438,298,-18.1429,-177.8252,2,green,2
3.64,0.1,205,19.4171666666667,-155.277666666667,0,red,0
4.6,25.153,326,-17.2226,-173.2886,1,blue,1
3.4,232.167,178,54.9933,-165.5947,0,red,0
3.2,35.0,158,54.6073,-159.6543,0,red,0
5.4,10.0,449,-9.2315,158.0104,1,pink,3
4.0,522.256,246,-20.4052,-177.976,2,green,2
4.2,29.163,271,-10.2477,118.7569,1,blue,1
4.1,102.365,259,-6.8653,130.1952,1,blue,1
4.3,10.0,286,37.9374,27.2412,1,blue,1
3.59,32.05,206,19.2058333333333,-155.386166666667,0,red,0
5.8,107.0,545,-6.7109,107.1456,1,pink,3
4.5,102.318,312,33.5746,140.1496,1,blue,1
3.12,-1.24,155,39.631,-120.1395,0,red,0
4.5,86.832,312,-8.9133,110.7498,1,blue,1
4.3,43.958,284,38.8711,142.3197,1,blue,1
3.8,155.112,222,-31.5425,-69.888,0,red,0
4.5,24.576,312,18.8478,147.0245,1,blue,1
5.0,54.934,385,-2.7657,139.1064,1,pink,3
3.2,165.327,158,55.0091,-163.4625,0,red,0
4.4,10.0,298,9.9762,125.6066,1,blue,1
4.3,10.0,284,27.6687,53.0469,1,blue,1
4.1,36.829,259,-2.8391,139.2986,1,blue,1
4.5,10.0,312,-22.6802,-174.4611,1,blue,1
4.0,527.174,246,-23.6995,-179.6624,2,green,2
4.2,128.41,271,-6.2483,129.6924,1,blue,1
3.67,57.0,207,19.057,-67.1873,0,red,0
5.5,61.331,470,42.236,46.9267,1,pink,3
4.4,7.629,298,43.8785,13.2942,1,blue,1
4.1,83.224,259,2.3551,126.1074,1,blue,1
3.2,8.535266113,158,31.61420308,-103.9705722,0,red,0
4.7,12.602,340,26.4185,142.2335,1,blue,1
4.4,10.0,298,-55.8469,-122.6227,1,blue,1
3.26,31.85,164,19.145,-64.8985,0,red,0
5.5,10.0,465,-14.9567,-173.0672,1,pink,3
4.3,50.944,284,51.6636,-175.3674,1,blue,1
4.3,19.995,285,17.7651,-105.8439,1,blue,1
3.1,35.0,148,51.5172,-175.2232,0,red,0
5.4,10.0,449,45.2244,-27.9027,1,pink,3
5.6,10.0,482,-63.1145,-163.6702,1,pink,3
4.6,205.302,326,0.3829,123.884,1,blue,1
3.1,0.0,148,41.976,-119.5586,0,red,0
4.1,115.292,259,53.9738,159.8506,1,blue,1
4.0,120.961,246,36.4811,71.2461,1,blue,1
4.2,11.646,271,37.0247,14.6762,1,blue,1
4.4,111.161,298,-19.2621,-69.2619,1,blue,1
5.0,10.0,385,-15.7027,-72.2282,1,pink,3
4.7,118.012,340,0.3988,122.2117,1,blue,1
4.2,202.77,271,43.8314,141.8914,1,blue,1
3.28,5.61,166,31.124,-115.5058333,0,red,0
4.5,86.478,312,-0.6077,-79.7062,1,blue,1
4.1,238.709,259,36.6897,137.5665,1,blue,1
4.8,10.0,354,45.2443,-28.0201,1,pink,3
4.8,10.0,354,45.3087,-27.9682,1,pink,3
4.5,9.925,312,6.4798,123.9805,1,blue,1
4.0,600.336,246,-21.6798,-179.3689,2,green,2
5.8,9.0,521,13.1588,125.8253,1,pink,3
4.6,69.468,326,-6.0629,104.1844,1,blue,1
5.1,10.0,400,-44.2286,-79.0514,1,pink,3
4.8,36.897,354,20.0284,121.2103,1,pink,3
4.3,10.0,284,-4.0469,145.7557,1,blue,1
3.4,35.0,178,53.6736,-164.0906,0,red,0
3.34,15.49,172,18.2841666666667,-67.7713333333333,0,red,0
4.3,10.0,284,-1.1747,149.4091,1,blue,1
4.5,10.0,312,4.0615,128.712,1,blue,1
4.5,99.202,312,26.0254,95.3931,1,blue,1
4.4,57.225,298,0.776,126.3563,1,blue,1
4.5,10.0,312,-6.4304,143.0512,1,blue,1
4.9,69.604,369,-57.9057,-25.4414,1,pink,3
4.3,104.947,284,38.6815,73.6617,1,blue,1
3.2,15.0,159,60.9219,-150.8774,0,red,0
4.2,10.892,271,36.0737,27.0127,1,blue,1
4.0,95.342,246,-19.1268,-69.8346,1,blue,1
4.2,10.0,271,-10.6423,124.4258,1,blue,1
3.2,35.0,158,53.8338,-163.308,0,red,0
5.6,72.166,489,6.4472,126.1762,1,pink,3
4.14,59.0,264,19.6711,-65.7491,1,blue,1
4.1,116.055,262,35.6712,139.8666,1,blue,1
4.4,110.322,298,-19.6198,-69.2965,1,blue,1
4.6,10.0,326,12.9836,125.7401,1,blue,1
3.3,35.0,168,51.4451,-172.9175,0,red,0
4.4,127.702,300,13.6932,144.9006,1,blue,1
4.4,44.174,298,27.4554,128.6212,1,blue,1
4.2,231.074,271,2.7357,128.576,1,blue,1
3.7,9.0,211,17.9585,-66.9525,0,red,0
4.2,456.816,271,28.6408,139.5331,2,green,2
4.0,99.634,246,37.8698,71.9174,1,blue,1
4.5,587.491,312,-21.906,-179.4423,2,green,2
3.9,10.0,234,50.5913,-173.3081,0,blue,1
3.36,10.24,174,19.184,-66.2371666666667,0,red,0
4.9,11.051,372,40.6221,-127.3059,1,pink,3
3.04,5.0,144,36.69633333,-97.67366667,0,red,0
3.66,110.0,206,18.5025,-66.4046,0,red,0
4.2,169.692,271,-31.1824,-179.2331,1,blue,1
4.4,10.0,298,7.9492,125.0222,1,blue,1
5.6,117.0,488,-23.0906,-68.1419,1,pink,3
3.13,13.62,151,18.6776666666667,-67.0013333333333,0,red,0
3.07,29.69,145,17.6703333333333,-65.9548333333333,0,red,0
5.4,21.67,461,-33.646,-72.079,1,pink,3
4.5,10.0,312,-7.7262,104.3472,1,blue,1
4.4,10.0,299,30.8464,-116.3895,1,blue,1
4.4,10.0,298,12.1749,143.9258,1,blue,1
4.3,9.208,284,-30.4837,-71.0428,1,blue,1
4.6,48.121,326,-31.6038,-71.3876,1,blue,1
4.7,10.0,340,3.1564,-84.2619,1,blue,1
4.4,8.434,298,5.1858,95.8587,1,blue,1
4.3,10.0,284,41.0131,77.9979,1,blue,1
4.3,10.0,284,-7.9239,104.1952,1,blue,1
3.9,268.866,234,19.0635,145.2181,2,blue,1
3.33,10.29,171,19.379,-65.9236666666667,0,red,0
4.8,10.0,354,-10.7295,113.4056,1,pink,3
4.4,10.0,298,-56.0653,-26.0602,1,blue,1
4.6,158.84,326,15.0111,145.5356,1,blue,1
4.1,177.599,259,17.0167,145.7927,1,blue,1
4.2,585.149,271,-17.9973,-178.4227,2,green,2
4.9,10.0,369,37.8416,101.2249,1,pink,3
3.3,202.558,168,52.4344,-173.3693,0,red,0
3.43,35.19,181,19.5711666666667,-66.339,0,red,0
4.2,548.003,271,-24.2436,-179.7887,2,green,2
3.4,2.78,178,18.3075,-64.2243333333333,0,red,0
4.8,56.031,354,-3.0848,137.8113,1,pink,3
3.4,71.584,178,52.1074,-174.0578,0,red,0
4.3,10.0,284,0.9154,129.4336,1,blue,1
4.5,10.0,312,-10.1553,107.5719,1,blue,1
4.9,114.675,369,-20.071,-175.2809,1,pink,3
4.6,10.0,326,-54.0091,7.1498,1,blue,1
4.6,40.522,326,-10.2241,118.7493,1,blue,1
4.4,6.717,298,2.0267,98.9514,1,blue,1
4.4,71.948,298,-6.4494,155.021,1,blue,1
5.2,41.212,416,51.9179,175.3114,1,pink,3
4.0,218.043,246,37.3421,72.1979,1,blue,1
4.1,10.0,259,37.0933,28.3024,1,blue,1
4.8,10.0,354,32.8768,141.6183,1,pink,3
4.5,10.256,312,-3.6583,149.6949,1,blue,1
4.1,10.0,260,18.6424,-104.1445,1,blue,1
4.4,130.416,298,-23.5276,-68.1213,1,blue,1
4.3,25.69,285,34.6418,69.3476,1,blue,1
4.4,52.931,298,34.6985,23.9544,1,blue,1
4.4,10.0,298,-15.0157,-176.8068,1,blue,1
4.5,10.0,312,24.6694,127.6888,1,blue,1
4.9,23.98,370,1.5628,128.2056,1,pink,3
4.2,10.0,271,52.9613,174.3094,1,blue,1
4.3,10.0,284,7.6701,127.0236,1,blue,1
4.5,243.953,312,36.6716,71.0593,1,blue,1
3.51,10.0,190,19.4508,-65.591,0,red,0
3.43,25.47,181,19.1153333333333,-64.7686666666667,0,red,0
4.0,118.352,246,19.2036,146.1256,1,blue,1
5.6,32.0,482,-58.7309,-25.4268,1,pink,3
3.4,7.365551758,178,31.68032006,-104.3903779,0,red,0
4.7,10.0,340,32.509,48.9717,1,blue,1
3.3,53.532,168,52.902,-168.2111,0,red,0
4.0,566.635,246,-17.4404,-178.3925,2,green,2
3.8,276.202,222,18.9735,145.0265,0,red,0
4.05,27.0,252,19.2636,-64.7865,1,blue,1
4.8,27.661,355,37.2172,141.663,1,pink,3
4.6,95.589,326,36.7551,71.1267,1,blue,1
4.9,10.0,369,-52.5829,27.8346,1,pink,3
3.26,13.84,164,18.648,-66.7385,0,red,0
4.5,10.0,312,-7.8452,104.24,1,blue,1
4.9,10.0,369,41.7616,144.3778,1,pink,3
4.7,10.0,340,41.7719,144.4932,1,blue,1
4.4,514.984,298,-23.5173,-179.8121,2,green,2
4.4,9.974,298,2.275,129.3541,1,blue,1
4.9,10.0,369,31.0191,141.7972,1,pink,3
3.2,5.0,159,37.2292,-97.9493,0,red,0
6.0,18.0,711,17.1801,-100.53,1,pink,3
4.2,10.0,271,72.6649,-95.9574,1,blue,1
5.0,189.564,385,14.1437,-89.8707,1,pink,3
4.6,10.0,326,12.0395,143.8416,1,blue,1
4.3,10.0,284,-15.0323,-173.2901,1,blue,1
4.0,64.83,246,-9.1364,111.3505,1,blue,1
4.4,5.0,298,-26.4814,27.7854,1,blue,1
4.9,35.0,369,-60.2465,-27.1186,1,pink,3
4.2,10.0,272,44.1842,-129.3204,1,blue,1
4.6,10.0,327,40.5939,111.1056,1,blue,1
4.2,76.678,271,15.1755,-92.9695,1,blue,1
3.1,10.0,148,52.4318,177.2348,0,red,0
5.0,610.341,385,-21.1936,-178.8922,2,green,2
4.1,10.0,259,52.6058,-166.9204,1,blue,1
4.6,54.073,326,39.4407,142.012,1,blue,1
4.3,10.0,284,11.7042,142.5543,1,blue,1
3.8,15.8,222,64.9799,-164.4204,0,red,0
4.4,52.154,298,-4.8007,-80.5332,1,blue,1
3.3,8.596,168,33.954,-106.9129,0,red,0
4.0,10.0,246,78.6991,6.793,1,blue,1
4.2,10.0,271,-10.8121,122.9274,1,blue,1
3.6,181.057,199,52.079,-178.5665,0,red,0
3.4,43.074,178,51.1562,-179.7559,0,red,0
4.5,574.79,312,-18.1634,-178.099,2,green,2
5.0,31.135,385,-9.7258,159.5844,1,pink,3
